# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   25.993455760    0.846140758    0.846140634    0.846141463
   26.043537563    0.857441252    0.857441343    0.857442078
   26.093619366    0.798795148    0.798795421    0.798795750
   26.143701169    0.740968083    0.740968491    0.740968577
   26.193782972    0.701979360    0.701979793    0.701979722
   26.243864775    0.635595007    0.635595533    0.635595310
   26.293946578    0.580242027    0.580242310    0.580242100
   26.344028381    0.567443061    0.567442987    0.567442930
   26.394110184    0.590669665    0.590669481    0.590669532
   26.444191987    0.618771903    0.618771753    0.618771868
   26.494273790    0.617269744    0.617269790    0.617270294
   26.544355593    0.586162735    0.586162763    0.586163350
   26.594437396    0.589153441    0.589153362    0.589153809
   26.644519199    0.653126951    0.653126489    0.653127064
   26.694601002    0.720336798    0.720336058    0.720336916
   26.744682805    0.744227362    0.744226568    0.744227437
   26.794764608    0.733872084    0.733871448    0.733872301
   26.844846411    0.757504320    0.757503899    0.757504757
   26.894928214    0.775947634    0.775946933    0.775947772
   26.945010017    0.734986417    0.734985586    0.734986278
   26.995091820    0.723501084    0.723500550    0.723500820
   27.045173623    0.776700532    0.776700307    0.776700394
   27.095255426    0.780795211    0.780794871    0.780795124
   27.145337229    0.725589363    0.725588997    0.725589179
   27.195419032    0.695570764    0.695570544    0.695570443
   27.245500835    0.695504357    0.695504098    0.695504048
   27.295582638    0.691441807    0.691441815    0.691442133
   27.345664441    0.688730436    0.688730767    0.688731296
   27.395746244    0.643237654    0.643237879    0.643238357
   27.445828047    0.592105824    0.592105785    0.592106417
   27.495909850    0.633200271    0.633199992    0.633200953
   27.545991653    0.658633135    0.658632680    0.658633331
   27.596073456    0.628311055    0.628310690    0.628311066
   27.646155259    0.613700300    0.613699981    0.613700254
